# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
1.000000e-02,3.000000e-01,4.768258e-01,2.755084e+00,6.860872e+01,2.474620e+06
1.000000e-02,3.500000e-01,4.359816e-01,2.504229e+00,7.461422e+01,2.618060e+06
1.000000e-02,4.000000e-01,4.044052e-01,2.311714e+00,8.032073e+01,2.756476e+06
1.000000e-02,4.500000e-01,3.794139e-01,2.160685e+00,8.578582e+01,2.893221e+06
1.000000e-02,5.000000e-01,3.593981e-01,2.041194e+00,9.104450e+01,3.031880e+06
1.000000e-02,5.500000e-01,3.433874e-01,1.947469e+00,9.610907e+01,3.176920e+06
1.000000e-02,6.000000e-01,3.308560e-01,1.876768e+00,1.009594e+02,3.334718e+06
1.000000e-02,6.500000e-01,3.216740e-01,1.829293e+00,1.055152e+02,3.515565e+06
1.000000e-02,7.000000e-01,3.162144e-01,1.809353e+00,1.095699e+02,3.738128e+06
3.500000e-02,3.000000e-01,8.761172e-01,5.719824e+00,7.192281e+01,4.989303e+06
3.500000e-02,3.500000e-01,8.002379e-01,5.212006e+00,7.783673e+01,5.297662e+06
3.500000e-02,4.000000e-01,7.457110e-01,4.852957e+00,8.332424e+01,5.630887e+06
3.500000e-02,4.500000e-01,7.069200e-01,4.604245e+00,8.840261e+01,6.003276e+06
3.500000e-02,5.000000e-01,6.809725e-01,4.446473e+00,9.307938e+01,6.434355e+06
3.500000e-02,5.500000e-01,6.667982e-01,4.372822e+00,9.740336e+01,6.952299e+06
3.500000e-02,6.000000e-01,6.649127e-01,4.386988e+00,1.015894e+02,7.599378e+06
3.500000e-02,6.500000e-01,6.776879e-01,4.504084e+00,1.063181e+02,8.441125e+06
3.500000e-02,7.000000e-01,7.109479e-01,4.810725e+00,1.036729e+02,9.694158e+06
5.000000e-02,3.000000e-01,1.155837e+00,7.948523e+00,6.174513e+01,6.858757e+06
5.000000e-02,3.500000e-01,1.057383e+00,7.249576e+00,6.800297e+01,7.291751e+06
5.000000e-02,4.000000e-01,9.899795e-01,6.786079e+00,7.291377e+01,7.793566e+06
5.000000e-02,4.500000e-01,9.458612e-01,6.499653e+00,7.639691e+01,8.389839e+06
5.000000e-02,5.000000e-01,9.215028e-01,6.363857e+00,7.836469e+01,9.118374e+06
5.000000e-02,5.500000e-01,9.163521e-01,6.374629e+00,7.872360e+01,1.003687e+07
5.000000e-02,6.000000e-01,9.327231e-01,6.549460e+00,7.737794e+01,1.123736e+07
5.000000e-02,6.500000e-01,9.767986e-01,6.934911e+00,7.423591e+01,1.287536e+07
5.000000e-02,7.000000e-01,1.061570e+00,7.628704e+00,6.921826e+01,1.523425e+07
7.000000e-02,3.000000e-01,1.645480e+00,1.187106e+01,4.217551e+01,1.011925e+07
7.000000e-02,3.500000e-01,1.509567e+00,1.087720e+01,4.642210e+01,1.081041e+07
7.000000e-02,4.000000e-01,1.422297e+00,1.025076e+01,4.972528e+01,1.163541e+07
7.000000e-02,4.500000e-01,1.372382e+00,9.906797e+00,5.202691e+01,1.264177e+07
7.000000e-02,5.000000e-01,1.355264e+00,9.811055e+00,5.326796e+01,1.390049e+07
7.000000e-02,5.500000e-01,1.371418e+00,9.967102e+00,5.339019e+01,1.552183e+07
7.000000e-02,6.000000e-01,1.426648e+00,1.041860e+01,5.233872e+01,1.768573e+07
7.000000e-02,6.500000e-01,nan,nan,nan,nan
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.670637e+00,1.976524e+01,2.741742e+01,1.658191e+07
1.000000e-01,3.500000e-01,2.470109e+00,1.827552e+01,3.012545e+01,1.787949e+07
1.000000e-01,4.000000e-01,2.353813e+00,1.742060e+01,3.220287e+01,1.946877e+07
1.000000e-01,4.500000e-01,2.305193e+00,1.707588e+01,3.361208e+01,2.145856e+07
1.000000e-01,5.000000e-01,2.319962e+00,1.720911e+01,3.431559e+01,2.401673e+07
1.000000e-01,5.500000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
