# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,3.000000e-01,8.700620e-01,5.661698e+00,7.037706e+01,4.948571e+06
3.500000e-02,4.000000e-01,7.403732e-01,4.803188e+00,8.139464e+01,5.584292e+06
3.500000e-02,5.000000e-01,6.760356e-01,4.402584e+00,9.067987e+01,6.383427e+06
3.500000e-02,6.000000e-01,6.602281e-01,4.348748e+00,9.847128e+01,7.547731e+06
3.500000e-02,7.000000e-01,7.072749e-01,4.785958e+00,9.947353e+01,9.662333e+06
5.000000e-02,3.000000e-01,1.146987e+00,7.885242e+00,5.902784e+01,6.821677e+06
5.000000e-02,4.000000e-01,9.819921e-01,6.728992e+00,6.969631e+01,7.747879e+06
5.000000e-02,5.000000e-01,9.145370e-01,6.314333e+00,7.486734e+01,9.070515e+06
5.000000e-02,6.000000e-01,9.278755e-01,6.515968e+00,7.382889e+01,1.120805e+07
5.000000e-02,7.000000e-01,1.064491e+00,7.654023e+00,6.585157e+01,1.532234e+07
7.000000e-02,3.000000e-01,1.635161e+00,1.179694e+01,3.995198e+01,1.008876e+07
7.000000e-02,4.000000e-01,1.414937e+00,1.019874e+01,4.707864e+01,1.161382e+07
7.000000e-02,5.000000e-01,1.352965e+00,9.797092e+00,5.037441e+01,1.392522e+07
7.000000e-02,6.000000e-01,1.436586e+00,1.049684e+01,4.938204e+01,1.787483e+07
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.682371e+00,1.985724e+01,2.557353e+01,1.672451e+07
1.000000e-01,4.000000e-01,2.380578e+00,1.762570e+01,2.999192e+01,1.977478e+07
1.000000e-01,5.000000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
