# Feed Mass Frac,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,6.760356e-01,4.402584e+00,9.067987e+01,6.383427e+06
4.000000e-02,7.495557e-01,4.951573e+00,9.111500e+01,7.156451e+06
4.500000e-02,8.277891e-01,5.590611e+00,8.434055e+01,8.054915e+06
5.000000e-02,9.145370e-01,6.314333e+00,7.486734e+01,9.070515e+06
5.500000e-02,1.010086e+00,7.091568e+00,6.709394e+01,1.015841e+07
6.000000e-02,1.114657e+00,7.927122e+00,6.060138e+01,1.132490e+07
6.500000e-02,1.228723e+00,8.826727e+00,5.509805e+01,1.257755e+07
7.000000e-02,1.352965e+00,9.797092e+00,5.037441e+01,1.392522e+07
7.500000e-02,1.488267e+00,1.084600e+01,4.627588e+01,1.537819e+07
8.000000e-02,1.635708e+00,1.198247e+01,4.268586e+01,1.694838e+07
8.500000e-02,1.796587e+00,1.321694e+01,3.951469e+01,1.864958e+07
9.000000e-02,1.972445e+00,1.456152e+01,3.669223e+01,2.049779e+07
9.500000e-02,2.165106e+00,1.603037e+01,3.416280e+01,2.251170e+07
1.000000e-01,2.376729e+00,1.764007e+01,3.188160e+01,2.471318e+07
