# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
1.000000e-02,3.000000e-01,4.716974e-01,2.703650e+00,6.766156e+01,2.431654e+06
1.000000e-02,3.500000e-01,4.314502e-01,2.458525e+00,7.354996e+01,2.573551e+06
1.000000e-02,4.000000e-01,4.003708e-01,2.270784e+00,7.913671e+01,2.710968e+06
1.000000e-02,4.500000e-01,3.758070e-01,2.123866e+00,8.447813e+01,2.847227e+06
1.000000e-02,5.000000e-01,3.561694e-01,2.008024e+00,8.960758e+01,2.985918e+06
1.000000e-02,5.500000e-01,3.405022e-01,1.917632e+00,9.453494e+01,3.131543e+06
1.000000e-02,6.000000e-01,3.282909e-01,1.850075e+00,9.923643e+01,3.290564e+06
1.000000e-02,6.500000e-01,3.194152e-01,1.805675e+00,1.036262e+02,3.473422e+06
1.000000e-02,7.000000e-01,3.142560e-01,1.788871e+00,1.074889e+02,3.699026e+06
3.500000e-02,3.000000e-01,8.700620e-01,5.661698e+00,7.037706e+01,4.948571e+06
3.500000e-02,3.500000e-01,7.945888e-01,5.158473e+00,7.610573e+01,5.253795e+06
3.500000e-02,4.000000e-01,7.403732e-01,4.803188e+00,8.139464e+01,5.584292e+06
3.500000e-02,4.500000e-01,7.018149e-01,4.557622e+00,8.625429e+01,5.954308e+06
3.500000e-02,5.000000e-01,6.760356e-01,4.402584e+00,9.067987e+01,6.383427e+06
3.500000e-02,5.500000e-01,6.619853e-01,4.331540e+00,9.469624e+01,6.900150e+06
3.500000e-02,6.000000e-01,6.602281e-01,4.348748e+00,9.847128e+01,7.547731e+06
3.500000e-02,6.500000e-01,6.732653e-01,4.470574e+00,1.025973e+02,8.394323e+06
3.500000e-02,7.000000e-01,7.072749e-01,4.785958e+00,9.947353e+01,9.662333e+06
5.000000e-02,3.000000e-01,1.146987e+00,7.885242e+00,5.902784e+01,6.821677e+06
5.000000e-02,3.500000e-01,1.048964e+00,7.189369e+00,6.500863e+01,7.249819e+06
5.000000e-02,4.000000e-01,9.819921e-01,6.728992e+00,6.969631e+01,7.747879e+06
5.000000e-02,4.500000e-01,9.383365e-01,6.445962e+00,7.301140e+01,8.341871e+06
5.000000e-02,5.000000e-01,9.145370e-01,6.314333e+00,7.486734e+01,9.070515e+06
5.000000e-02,5.500000e-01,9.101797e-01,6.331091e+00,7.517158e+01,9.993618e+06
5.000000e-02,6.000000e-01,9.278755e-01,6.515968e+00,7.382889e+01,1.120805e+07
5.000000e-02,6.500000e-01,9.744663e-01,6.920492e+00,7.074787e+01,1.288060e+07
5.000000e-02,7.000000e-01,1.064491e+00,7.654023e+00,6.585157e+01,1.532234e+07
7.000000e-02,3.000000e-01,1.635161e+00,1.179694e+01,3.995198e+01,1.008876e+07
7.000000e-02,3.500000e-01,1.500616e+00,1.081327e+01,4.396536e+01,1.078175e+07
7.000000e-02,4.000000e-01,1.414937e+00,1.019874e+01,4.707864e+01,1.161382e+07
7.000000e-02,4.500000e-01,1.367101e+00,9.870387e+00,4.923445e+01,1.263591e+07
7.000000e-02,5.000000e-01,1.352965e+00,9.797092e+00,5.037441e+01,1.392522e+07
7.000000e-02,5.500000e-01,1.373735e+00,9.987919e+00,5.044118e+01,1.560379e+07
7.000000e-02,6.000000e-01,1.436586e+00,1.049684e+01,4.938204e+01,1.787483e+07
7.000000e-02,6.500000e-01,nan,nan,nan,nan
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.682371e+00,1.985724e+01,2.557353e+01,1.672451e+07
1.000000e-01,3.500000e-01,2.488229e+00,1.841556e+01,2.808088e+01,1.808702e+07
1.000000e-01,4.000000e-01,2.380578e+00,1.762570e+01,2.999192e+01,1.977478e+07
1.000000e-01,4.500000e-01,2.344134e+00,1.737265e+01,3.127057e+01,2.191620e+07
1.000000e-01,5.000000e-01,2.376729e+00,1.764007e+01,3.188160e+01,2.471318e+07
1.000000e-01,5.500000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
