# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,3.000000e-01,9.988017e-01,6.623057e+00,7.077262e+01,5.625555e+06
3.500000e-02,4.000000e-01,8.478813e-01,5.605705e+00,8.185702e+01,6.335485e+06
3.500000e-02,5.000000e-01,7.725160e-01,5.121138e+00,9.141824e+01,7.220487e+06
3.500000e-02,6.000000e-01,7.504074e-01,5.015296e+00,1.001155e+02,8.468061e+06
3.500000e-02,7.000000e-01,7.885304e-01,5.360808e+00,1.059760e+02,1.053567e+07
5.000000e-02,3.000000e-01,1.325172e+00,9.189395e+00,6.108637e+01,7.647754e+06
5.000000e-02,4.000000e-01,1.127208e+00,7.785747e+00,7.249108e+01,8.626309e+06
5.000000e-02,5.000000e-01,1.038306e+00,7.209581e+00,7.854249e+01,9.968966e+06
5.000000e-02,6.000000e-01,1.029461e+00,7.242898e+00,7.867313e+01,1.199722e+07
5.000000e-02,7.000000e-01,1.118707e+00,8.021636e+00,7.229716e+01,1.547205e+07
7.000000e-02,3.000000e-01,1.863075e+00,1.347466e+01,4.169215e+01,1.093390e+07
7.000000e-02,4.000000e-01,1.586256e+00,1.145053e+01,4.957355e+01,1.237510e+07
7.000000e-02,5.000000e-01,1.475641e+00,1.068219e+01,5.381128e+01,1.441406e+07
7.000000e-02,6.000000e-01,1.488810e+00,1.085035e+01,5.402850e+01,1.754700e+07
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.897563e+00,2.143978e+01,2.705317e+01,1.678124e+07
1.000000e-01,4.000000e-01,2.478508e+00,1.832540e+01,3.220282e+01,1.911060e+07
1.000000e-01,5.000000e-01,nan,nan,nan,nan
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
