# Feed Mass Frac,LCOW,SEC,Membrane Area,Operating Pressure
3.500000e-02,7.725160e-01,5.121138e+00,9.141824e+01,7.220487e+06
4.000000e-02,8.572603e-01,5.748999e+00,9.224959e+01,8.052413e+06
4.500000e-02,9.447028e-01,6.435155e+00,8.810184e+01,8.955377e+06
5.000000e-02,1.038306e+00,7.209581e+00,7.854249e+01,9.968966e+06
5.500000e-02,1.138387e+00,8.020209e+00,7.070060e+01,1.102069e+07
6.000000e-02,1.244668e+00,8.868088e+00,6.414825e+01,1.211117e+07
6.500000e-02,1.357068e+00,9.754757e+00,5.858912e+01,1.324170e+07
7.000000e-02,1.475641e+00,1.068219e+01,5.381128e+01,1.441406e+07
7.500000e-02,1.600553e+00,1.165275e+01,4.965912e+01,1.563055e+07
8.000000e-02,1.732056e+00,1.266921e+01,4.601575e+01,1.689389e+07
8.500000e-02,1.870487e+00,1.373474e+01,4.279165e+01,1.820728e+07
9.000000e-02,2.016256e+00,1.485296e+01,3.991714e+01,1.957438e+07
9.500000e-02,2.169852e+00,1.602793e+01,3.733712e+01,2.099937e+07
1.000000e-01,2.331842e+00,1.726425e+01,3.500748e+01,2.248699e+07
