# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
1.000000e-02,3.000000e-01,5.131301e-01,3.029554e+00,6.759080e+01,2.692957e+06
1.000000e-02,3.500000e-01,4.689119e-01,2.753122e+00,7.351660e+01,2.849004e+06
1.000000e-02,4.000000e-01,4.349363e-01,2.542416e+00,7.914701e+01,3.001197e+06
1.000000e-02,4.500000e-01,4.082460e-01,2.378536e+00,8.453430e+01,3.153397e+06
1.000000e-02,5.000000e-01,3.870833e-01,2.250457e+00,8.970545e+01,3.309913e+06
1.000000e-02,5.500000e-01,3.704100e-01,2.151951e+00,9.465960e+01,3.476293e+06
1.000000e-02,6.000000e-01,3.576977e-01,2.080356e+00,9.935448e+01,3.660634e+06
1.000000e-02,6.500000e-01,3.488875e-01,2.036558e+00,1.036738e+02,3.876088e+06
1.000000e-02,7.000000e-01,3.445313e-01,2.026397e+00,1.073618e+02,4.146210e+06
3.500000e-02,3.000000e-01,9.988017e-01,6.623057e+00,7.077262e+01,5.625555e+06
3.500000e-02,3.500000e-01,9.109328e-01,6.027210e+00,7.652214e+01,5.966392e+06
3.500000e-02,4.000000e-01,8.478813e-01,5.605705e+00,8.185702e+01,6.335485e+06
3.500000e-02,4.500000e-01,8.029374e-01,5.311909e+00,8.681031e+01,6.747199e+06
3.500000e-02,5.000000e-01,7.725160e-01,5.121138e+00,9.141824e+01,7.220487e+06
3.500000e-02,5.500000e-01,7.550173e-01,5.022442e+00,9.577056e+01,7.781589e+06
3.500000e-02,6.000000e-01,7.504074e-01,5.015296e+00,1.001155e+02,8.468061e+06
3.500000e-02,6.500000e-01,7.602590e-01,5.109130e+00,1.050824e+02,9.335198e+06
3.500000e-02,7.000000e-01,7.885304e-01,5.360808e+00,1.059760e+02,1.053567e+07
5.000000e-02,3.000000e-01,1.325172e+00,9.189395e+00,6.108637e+01,7.647754e+06
5.000000e-02,3.500000e-01,1.208355e+00,8.352517e+00,6.742446e+01,8.103696e+06
5.000000e-02,4.000000e-01,1.127208e+00,7.785747e+00,7.249108e+01,8.626309e+06
5.000000e-02,4.500000e-01,1.072145e+00,7.416946e+00,7.622029e+01,9.237637e+06
5.000000e-02,5.000000e-01,1.038306e+00,7.209581e+00,7.854249e+01,9.968966e+06
5.000000e-02,5.500000e-01,1.023859e+00,7.149905e+00,7.938489e+01,1.086588e+07
5.000000e-02,6.000000e-01,1.029461e+00,7.242898e+00,7.867313e+01,1.199722e+07
5.000000e-02,6.500000e-01,1.058550e+00,7.514462e+00,7.633378e+01,1.347173e+07
5.000000e-02,7.000000e-01,1.118707e+00,8.021636e+00,7.229716e+01,1.547205e+07
7.000000e-02,3.000000e-01,1.863075e+00,1.347466e+01,4.169215e+01,1.093390e+07
7.000000e-02,3.500000e-01,1.697601e+00,1.225829e+01,4.606471e+01,1.159849e+07
7.000000e-02,4.000000e-01,1.586256e+00,1.145053e+01,4.957355e+01,1.237510e+07
7.000000e-02,4.500000e-01,1.514673e+00,1.094325e+01,5.217151e+01,1.329761e+07
7.000000e-02,5.000000e-01,1.475641e+00,1.068219e+01,5.381128e+01,1.441406e+07
7.000000e-02,5.500000e-01,1.466581e+00,1.064792e+01,5.444573e+01,1.579484e+07
7.000000e-02,6.000000e-01,1.488810e+00,1.085035e+01,5.402850e+01,1.754700e+07
7.000000e-02,6.500000e-01,1.548141e+00,1.133323e+01,5.251452e+01,1.984190e+07
7.000000e-02,7.000000e-01,nan,nan,nan,nan
1.000000e-01,3.000000e-01,2.897563e+00,2.143978e+01,2.705317e+01,1.678124e+07
1.000000e-01,3.500000e-01,2.644182e+00,1.955215e+01,2.990565e+01,1.784791e+07
1.000000e-01,4.000000e-01,2.478508e+00,1.832540e+01,3.220282e+01,1.911060e+07
1.000000e-01,4.500000e-01,2.378007e+00,1.758995e+01,3.391381e+01,2.062850e+07
1.000000e-01,5.000000e-01,2.331842e+00,1.726425e+01,3.500748e+01,2.248699e+07
1.000000e-01,5.500000e-01,2.337077e+00,1.732621e+01,3.545214e+01,2.481393e+07
1.000000e-01,6.000000e-01,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan
