# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,4.358467e+00,1.987241e+01,6.435630e+02,1.527170e+00
4.500000e-01,7.000000e-02,4.426503e+00,2.070028e+01,6.763543e+02,1.555224e+00
4.537500e-01,3.500000e-02,4.352580e+00,1.984838e+01,6.499907e+02,1.526404e+00
4.537500e-01,7.000000e-02,4.422256e+00,2.069055e+01,6.830112e+02,1.554926e+00
4.575000e-01,3.500000e-02,4.346853e+00,1.982514e+01,6.564141e+02,1.525664e+00
4.575000e-01,7.000000e-02,4.418183e+00,2.068182e+01,6.896619e+02,1.554662e+00
4.612500e-01,3.500000e-02,4.341280e+00,1.980268e+01,6.628332e+02,1.524949e+00
4.612500e-01,7.000000e-02,4.414280e+00,2.067408e+01,6.963062e+02,1.554432e+00
4.650000e-01,3.500000e-02,4.335859e+00,1.978097e+01,6.692480e+02,1.524260e+00
4.650000e-01,7.000000e-02,4.410545e+00,2.066733e+01,7.029442e+02,1.554235e+00
4.687500e-01,3.500000e-02,4.330584e+00,1.976001e+01,6.756586e+02,1.523595e+00
4.687500e-01,7.000000e-02,4.406975e+00,2.066156e+01,7.095759e+02,1.554071e+00
4.725000e-01,3.500000e-02,4.325452e+00,1.973976e+01,6.820649e+02,1.522954e+00
4.725000e-01,7.000000e-02,4.403567e+00,2.065676e+01,7.162011e+02,1.553939e+00
4.762500e-01,3.500000e-02,4.320460e+00,1.972022e+01,6.884670e+02,1.522337e+00
4.762500e-01,7.000000e-02,4.400318e+00,2.065293e+01,7.228199e+02,1.553840e+00
4.800000e-01,3.500000e-02,4.315604e+00,1.970138e+01,6.948649e+02,1.521742e+00
4.800000e-01,7.000000e-02,4.397226e+00,2.065007e+01,7.294322e+02,1.553774e+00
4.837500e-01,3.500000e-02,4.310880e+00,1.968321e+01,7.012587e+02,1.521170e+00
4.837500e-01,7.000000e-02,4.394289e+00,2.064816e+01,7.360379e+02,1.553740e+00
4.875000e-01,3.500000e-02,4.306286e+00,1.966572e+01,7.076483e+02,1.520620e+00
