# Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area
7.000000e-02,4.383307e+00,2.065099e+01,7.645860e+02,1.553965e+00,1.874229e+02,2.096907e+02
7.500000e-02,4.401022e+00,2.084914e+01,7.696654e+02,1.560740e+00,1.841482e+02,2.061641e+02
8.000000e-02,4.420190e+00,2.106323e+01,7.746921e+02,1.568095e+00,1.808254e+02,2.025112e+02
8.500000e-02,4.440929e+00,2.129467e+01,7.796425e+02,1.576089e+00,1.774573e+02,1.987369e+02
9.000000e-02,4.463364e+00,2.154501e+01,7.844895e+02,1.584786e+00,1.740476e+02,1.948473e+02
9.500000e-02,4.487629e+00,2.181591e+01,7.892030e+02,1.594259e+00,1.706009e+02,1.908494e+02
1.000000e-01,4.513869e+00,2.210915e+01,7.937493e+02,1.604585e+00,1.671227e+02,1.867513e+02
1.050000e-01,4.542237e+00,2.242664e+01,7.980915e+02,1.615852e+00,1.636192e+02,1.825615e+02
1.100000e-01,4.572899e+00,2.277041e+01,8.021891e+02,1.628154e+00,1.600971e+02,1.782892e+02
1.150000e-01,4.606029e+00,2.314262e+01,8.059984e+02,1.641598e+00,1.565636e+02,1.739437e+02
1.200000e-01,4.641814e+00,2.354558e+01,8.094722e+02,1.656300e+00,1.530265e+02,1.695349e+02
1.250000e-01,4.680452e+00,2.398169e+01,8.125601e+02,1.672388e+00,1.494936e+02,1.650725e+02
1.300000e-01,4.722153e+00,2.445350e+01,8.152087e+02,1.690005e+00,1.459735e+02,1.605661e+02
1.350000e-01,4.767139e+00,2.496367e+01,8.173617e+02,1.709306e+00,1.424747e+02,1.560256e+02
1.400000e-01,4.815645e+00,2.551495e+01,8.189600e+02,1.730467e+00,1.390062e+02,1.514605e+02
1.450000e-01,4.867917e+00,2.611021e+01,8.199424e+02,1.753679e+00,1.355771e+02,1.468801e+02
1.500000e-01,4.924214e+00,2.675237e+01,8.202454e+02,1.779157e+00,1.321969e+02,1.422939e+02
