# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.500000e-01,4.358467e+00,1.987241e+01,6.435630e+02,1.527170e+00,2.553756e+02,2.315014e+02,6.665337e+06,3.703857e+04
3.500000e-02,5.000000e-01,4.291872e+00,1.961205e+01,7.289176e+02,1.518940e+00,2.090290e+02,2.307603e+02,6.015800e+06,3.686834e+04
3.500000e-02,5.500000e-01,4.246439e+00,1.946309e+01,8.135601e+02,1.514378e+00,1.700858e+02,2.286013e+02,5.366433e+06,3.665469e+04
3.500000e-02,6.000000e-01,4.217621e+00,1.941065e+01,8.975566e+02,1.512971e+00,1.370648e+02,2.251160e+02,4.717287e+06,3.637862e+04
3.500000e-02,6.500000e-01,4.203721e+00,1.945778e+01,9.809453e+02,1.514821e+00,1.088029e+02,2.201666e+02,4.068435e+06,3.600821e+04
3.500000e-02,7.000000e-01,4.206040e+00,1.963169e+01,1.063668e+03,1.520852e+00,8.438211e+01,2.132713e+02,3.420018e+06,3.548567e+04
3.500000e-02,7.500000e-01,4.230938e+00,2.000842e+01,1.145345e+03,1.533678e+00,6.307105e+01,2.032748e+02,2.772351e+06,3.469530e+04
5.000000e-02,4.500000e-01,4.382894e+00,2.017863e+01,6.574245e+02,1.537494e+00,2.461168e+02,2.246218e+02,6.562864e+06,3.627936e+04
5.000000e-02,5.000000e-01,4.324932e+00,1.999286e+01,7.441095e+02,1.531686e+00,2.000280e+02,2.224890e+02,5.903820e+06,3.600821e+04
5.000000e-02,5.500000e-01,4.289645e+00,1.993726e+01,8.299700e+02,1.530192e+00,1.613918e+02,2.186149e+02,5.245079e+06,3.566361e+04
5.000000e-02,6.000000e-01,4.273807e+00,2.001012e+01,9.149933e+02,1.532956e+00,1.286919e+02,2.129256e+02,4.586771e+06,3.521150e+04
5.000000e-02,6.500000e-01,4.278037e+00,2.023897e+01,9.990106e+02,1.540945e+00,1.007440e+02,2.049980e+02,3.929148e+06,3.459358e+04
5.000000e-02,7.000000e-01,4.308346e+00,2.070256e+01,1.081394e+03,1.556948e+00,7.662073e+01,1.938273e+02,3.272797e+06,3.370203e+04
5.000000e-02,7.500000e-01,4.382361e+00,2.160409e+01,1.159978e+03,1.588353e+00,5.560152e+01,1.772220e+02,2.619321e+06,3.231622e+04
7.000000e-02,4.500000e-01,4.426503e+00,2.070028e+01,6.763543e+02,1.555224e+00,2.332592e+02,2.140965e+02,6.425150e+06,3.513518e+04
7.000000e-02,5.000000e-01,4.383307e+00,2.065099e+01,7.645860e+02,1.553965e+00,1.874229e+02,2.096907e+02,5.753374e+06,3.469530e+04
7.000000e-02,5.500000e-01,4.366515e+00,2.077631e+01,8.515762e+02,1.558604e+00,1.491445e+02,2.029769e+02,5.082416e+06,3.412797e+04
7.000000e-02,6.000000e-01,4.375932e+00,2.110722e+01,9.369394e+02,1.570287e+00,1.168609e+02,1.936071e+02,4.412847e+06,3.337095e+04
7.000000e-02,6.500000e-01,4.417981e+00,2.173656e+01,1.019578e+03,1.592465e+00,8.937176e+01,1.806964e+02,3.745911e+06,3.231622e+04
7.000000e-02,7.000000e-01,4.511507e+00,2.289186e+01,1.096322e+03,1.633886e+00,6.578036e+01,1.624390e+02,3.084613e+06,3.076163e+04
7.000000e-02,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,4.500000e-01,4.524036e+00,2.182589e+01,7.046870e+02,1.594197e+00,2.125268e+02,1.953435e+02,6.218309e+06,3.309252e+04
1.000000e-01,5.000000e-01,4.513869e+00,2.210915e+01,7.937493e+02,1.604585e+00,1.671227e+02,1.867513e+02,5.529678e+06,3.231622e+04
1.000000e-01,5.500000e-01,4.541789e+00,2.270620e+01,8.795851e+02,1.626228e+00,1.295440e+02,1.748447e+02,4.844988e+06,3.129901e+04
1.000000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,4.500000e-01,4.647394e+00,2.323165e+01,7.258925e+02,1.644399e+00,1.942452e+02,1.775823e+02,6.054129e+06,3.105714e+04
1.250000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,4.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
