# Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area
7.000000e-02,4.380470e+00,2.072394e+01,7.611455e+02,1.556483e+00,1.812780e+02,2.107330e+02
7.500000e-02,4.392941e+00,2.087395e+01,7.654193e+02,1.561651e+00,1.790331e+02,2.088633e+02
8.000000e-02,4.406003e+00,2.102996e+01,7.696455e+02,1.567045e+00,1.768785e+02,2.070566e+02
8.500000e-02,4.419660e+00,2.119210e+01,7.738212e+02,1.572670e+00,1.748064e+02,2.053160e+02
9.000000e-02,4.433922e+00,2.136054e+01,7.779420e+02,1.578536e+00,1.728094e+02,2.036457e+02
9.500000e-02,4.448801e+00,2.153548e+01,7.820024e+02,1.584653e+00,1.708808e+02,2.020515e+02
1.000000e-01,4.464313e+00,2.171718e+01,7.859955e+02,1.591033e+00,1.690146e+02,2.005403e+02
1.050000e-01,4.480477e+00,2.190595e+01,7.899130e+02,1.597690e+00,1.672056e+02,1.991211e+02
1.100000e-01,4.497319e+00,2.210213e+01,7.937448e+02,1.604639e+00,1.654493e+02,1.978045e+02
1.150000e-01,4.514865e+00,2.230611e+01,7.974790e+02,1.611900e+00,1.637421e+02,1.966031e+02
1.200000e-01,4.533146e+00,2.251836e+01,8.011017e+02,1.619492e+00,1.620810e+02,1.955318e+02
1.250000e-01,4.552200e+00,2.273937e+01,8.045964e+02,1.627439e+00,1.604639e+02,1.946083e+02
1.300000e-01,4.572066e+00,2.296972e+01,8.079435e+02,1.635768e+00,1.588895e+02,1.938532e+02
1.350000e-01,4.592791e+00,2.321008e+01,8.111201e+02,1.644508e+00,1.573574e+02,1.932907e+02
1.400000e-01,4.614425e+00,2.346118e+01,8.140989e+02,1.653695e+00,1.558682e+02,1.929495e+02
1.450000e-01,4.637027e+00,2.372391e+01,8.168468e+02,1.663368e+00,1.544230e+02,1.928632e+02
1.500000e-01,4.660664e+00,2.399928e+01,8.193237e+02,1.673574e+00,1.530246e+02,1.930721e+02
