# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.500000e-01,4.367555e+00,2.002695e+01,6.458970e+02,1.532206e+00,2.439410e+02,2.243320e+02,6.619964e+06,3.663509e+04
3.500000e-02,5.000000e-01,4.302168e+00,1.976564e+01,7.310037e+02,1.523911e+00,1.988700e+02,2.238966e+02,5.969997e+06,3.649746e+04
3.500000e-02,5.500000e-01,4.256808e+00,1.960778e+01,8.153370e+02,1.519036e+00,1.611713e+02,2.222187e+02,5.320447e+06,3.632720e+04
3.500000e-02,6.000000e-01,4.226730e+00,1.953551e+01,8.989710e+02,1.516967e+00,1.293452e+02,2.194736e+02,4.671471e+06,3.611129e+04
3.500000e-02,6.500000e-01,4.209661e+00,1.954539e+01,9.819564e+02,1.517588e+00,1.022274e+02,2.156675e+02,4.023314e+06,3.582889e+04
3.500000e-02,7.000000e-01,4.205529e+00,1.964990e+01,1.064282e+03,1.521324e+00,7.891408e+01,2.105944e+02,3.376369e+06,3.544445e+04
3.500000e-02,7.500000e-01,4.217183e+00,1.988776e+01,1.145774e+03,1.529500e+00,5.870554e+01,2.036927e+02,2.731295e+06,3.489226e+04
5.000000e-02,4.500000e-01,4.384947e+00,2.029634e+01,6.582200e+02,1.541422e+00,2.348884e+02,2.184216e+02,6.497235e+06,3.602968e+04
5.000000e-02,5.000000e-01,4.326331e+00,2.008477e+01,7.446741e+02,1.534725e+00,1.900649e+02,2.173663e+02,5.838991e+06,3.582323e+04
5.000000e-02,5.500000e-01,4.288416e+00,1.998804e+01,8.302483e+02,1.531844e+00,1.527156e+02,2.148531e+02,5.181601e+06,3.556725e+04
5.000000e-02,6.000000e-01,4.267128e+00,1.999411e+01,9.149808e+02,1.532368e+00,1.213050e+02,2.110087e+02,4.525362e+06,3.524192e+04
5.000000e-02,6.500000e-01,4.261212e+00,2.010957e+01,9.988361e+02,1.536530e+00,9.464733e+01,2.057417e+02,3.870707e+06,3.481544e+04
5.000000e-02,7.000000e-01,4.272370e+00,2.036568e+01,1.081597e+03,1.545432e+00,7.182677e+01,1.986678e+02,3.218285e+06,3.423341e+04
5.000000e-02,7.500000e-01,4.307092e+00,2.084119e+01,1.162557e+03,1.561867e+00,5.213118e+01,1.888923e+02,2.569093e+06,3.339412e+04
7.000000e-02,4.500000e-01,4.415793e+00,2.072697e+01,6.741177e+02,1.556235e+00,2.249555e+02,2.112363e+02,6.338474e+06,3.518330e+04
7.000000e-02,5.000000e-01,4.366600e+00,2.058777e+01,7.623944e+02,1.551901e+00,1.800795e+02,2.093920e+02,5.669727e+06,3.487895e+04
7.000000e-02,5.500000e-01,4.339540e+00,2.058465e+01,8.495415e+02,1.552144e+00,1.428963e+02,2.057431e+02,5.002519e+06,3.450097e+04
7.000000e-02,6.000000e-01,4.331629e+00,2.071587e+01,9.354804e+02,1.556924e+00,1.118056e+02,2.003660e+02,4.337300e+06,3.401960e+04
7.000000e-02,6.500000e-01,4.343423e+00,2.100707e+01,1.019920e+03,1.567181e+00,8.556645e+01,1.930576e+02,3.674689e+06,3.338655e+04
7.000000e-02,7.000000e-01,4.380105e+00,2.152816e+01,1.102042e+03,1.585483e+00,6.320132e+01,1.832240e+02,3.015553e+06,3.251749e+04
7.000000e-02,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,4.500000e-01,4.478345e+00,2.153031e+01,6.966089e+02,1.584203e+00,2.139364e+02,2.025286e+02,6.109469e+06,3.384336e+04
1.000000e-01,5.000000e-01,4.444501e+00,2.151748e+01,7.875608e+02,1.584134e+00,1.681071e+02,1.995793e+02,5.425217e+06,3.338089e+04
1.000000e-01,5.500000e-01,4.436410e+00,2.168987e+01,8.766516e+02,1.590476e+00,1.304441e+02,1.942455e+02,4.743463e+06,3.280414e+04
1.000000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,4.500000e-01,4.545342e+00,2.235523e+01,7.138156e+02,1.613447e+00,2.070906e+02,1.974245e+02,5.924277e+06,3.266826e+04
1.250000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
