# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
4.000000e-01,7.000000e-02,4.500405e+00,2.090771e+01,5.863859e+02,1.561485e+00,2.899254e+02,2.174365e+02,6.971674e+06,3.557968e+04
4.200000e-01,7.000000e-02,4.465924e+00,2.079146e+01,6.222306e+02,1.557723e+00,2.664461e+02,2.170305e+02,6.702626e+06,3.544490e+04
4.400000e-01,7.000000e-02,4.437563e+00,2.070809e+01,6.578979e+02,1.555075e+00,2.447278e+02,2.162407e+02,6.433687e+06,3.529847e+04
4.600000e-01,7.000000e-02,4.414582e+00,2.065483e+01,6.933821e+02,1.553441e+00,2.246132e+02,2.150961e+02,6.164898e+06,3.513889e+04
4.800000e-01,7.000000e-02,4.396427e+00,2.062988e+01,7.286768e+02,1.552759e+00,2.059596e+02,2.136189e+02,5.896312e+06,3.496441e+04
5.000000e-01,7.000000e-02,4.382701e+00,2.063235e+01,7.637731e+02,1.552998e+00,1.886381e+02,2.118255e+02,5.628004e+06,3.477298e+04
5.200000e-01,7.000000e-02,4.373139e+00,2.066219e+01,7.986581e+02,1.554159e+00,1.725325e+02,2.097269e+02,5.360075e+06,3.456216e+04
5.400000e-01,7.000000e-02,4.367603e+00,2.072023e+01,8.333130e+02,1.556274e+00,1.575382e+02,2.073295e+02,5.092667e+06,3.432904e+04
5.600000e-01,7.000000e-02,4.366080e+00,2.080824e+01,8.677100e+02,1.559407e+00,1.435614e+02,2.046357e+02,4.825974e+06,3.407013e+04
5.800000e-01,7.000000e-02,4.368684e+00,2.092906e+01,9.018094e+02,1.563664e+00,1.305177e+02,2.016445e+02,4.560269e+06,3.378121e+04
6.000000e-01,7.000000e-02,4.375674e+00,2.108690e+01,9.355538e+02,1.569201e+00,1.183315e+02,1.983522e+02,4.295938e+06,3.345717e+04
6.200000e-01,7.000000e-02,4.387483e+00,2.128762e+01,9.688613e+02,1.576236e+00,1.069351e+02,1.947540e+02,4.033531e+06,3.309170e+04
6.400000e-01,7.000000e-02,4.404761e+00,2.153933e+01,1.001614e+03,1.585074e+00,9.626754e+01,1.908453e+02,3.773841e+06,3.267700e+04
6.600000e-01,7.000000e-02,4.428442e+00,2.185319e+01,1.033641e+03,1.596141e+00,8.627377e+01,1.866250e+02,3.518030e+06,3.220334e+04
6.800000e-01,7.000000e-02,4.459855e+00,2.224465e+01,1.064693e+03,1.610038e+00,7.690368e+01,1.821001e+02,3.267827e+06,3.165843e+04
7.000000e-01,7.000000e-02,4.500884e+00,2.273534e+01,1.094398e+03,1.627623e+00,6.811044e+01,1.772945e+02,3.025847e+06,3.102660e+04
