# Water Recovery,Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio
4.500000e-01,3.500000e-02,4.343058e+00,1.982570e+01,6.427559e+02,1.525539e+00
4.500000e-01,7.000000e-02,4.417549e+00,2.080071e+01,6.704871e+02,1.558725e+00
4.537500e-01,3.500000e-02,4.337346e+00,1.980166e+01,6.491759e+02,1.524773e+00
4.537500e-01,7.000000e-02,4.413496e+00,2.078930e+01,6.771567e+02,1.558366e+00
4.575000e-01,3.500000e-02,4.331789e+00,1.977842e+01,6.555917e+02,1.524032e+00
4.575000e-01,7.000000e-02,4.409616e+00,2.077894e+01,6.838199e+02,1.558043e+00
4.612500e-01,3.500000e-02,4.326384e+00,1.975595e+01,6.620032e+02,1.523318e+00
4.612500e-01,7.000000e-02,4.405904e+00,2.076962e+01,6.904765e+02,1.557755e+00
4.650000e-01,3.500000e-02,4.321127e+00,1.973425e+01,6.684106e+02,1.522628e+00
4.650000e-01,7.000000e-02,4.402358e+00,2.076134e+01,6.971264e+02,1.557502e+00
4.687500e-01,3.500000e-02,4.316013e+00,1.971328e+01,6.748138e+02,1.521964e+00
4.687500e-01,7.000000e-02,4.398976e+00,2.075408e+01,7.037697e+02,1.557283e+00
4.725000e-01,3.500000e-02,4.311040e+00,1.969305e+01,6.812128e+02,1.521323e+00
4.725000e-01,7.000000e-02,4.395753e+00,2.074783e+01,7.104062e+02,1.557099e+00
4.762500e-01,3.500000e-02,4.306204e+00,1.967352e+01,6.876077e+02,1.520706e+00
4.762500e-01,7.000000e-02,4.392689e+00,2.074259e+01,7.170359e+02,1.556949e+00
4.800000e-01,3.500000e-02,4.301501e+00,1.965469e+01,6.939985e+02,1.520112e+00
4.800000e-01,7.000000e-02,4.389780e+00,2.073835e+01,7.236587e+02,1.556832e+00
4.837500e-01,3.500000e-02,4.296929e+00,1.963655e+01,7.003852e+02,1.519540e+00
4.837500e-01,7.000000e-02,4.387024e+00,2.073511e+01,7.302745e+02,1.556749e+00
4.875000e-01,3.500000e-02,4.292483e+00,1.961908e+01,7.067678e+02,1.518991e+00
4.875000e-01,7.000000e-02,4.384419e+00,2.073287e+01,7.368833e+02,1.556700e+00
4.912500e-01,3.500000e-02,4.288162e+00,1.960226e+01,7.131463e+02,1.518463e+00
4.912500e-01,7.000000e-02,4.381964e+00,2.073162e+01,7.434849e+02,1.556684e+00
4.950000e-01,3.500000e-02,4.283963e+00,1.958610e+01,7.195209e+02,1.517957e+00
4.950000e-01,7.000000e-02,4.379656e+00,2.073136e+01,7.500793e+02,1.556702e+00
4.987500e-01,3.500000e-02,4.279882e+00,1.957057e+01,7.258914e+02,1.517471e+00
4.987500e-01,7.000000e-02,4.377495e+00,2.073208e+01,7.566663e+02,1.556753e+00
5.025000e-01,3.500000e-02,4.275917e+00,1.955566e+01,7.322580e+02,1.517007e+00
5.025000e-01,7.000000e-02,4.375478e+00,2.073380e+01,7.632460e+02,1.556837e+00
5.062500e-01,3.500000e-02,4.272067e+00,1.954138e+01,7.386207e+02,1.516562e+00
5.062500e-01,7.000000e-02,4.373605e+00,2.073652e+01,7.698181e+02,1.556955e+00
5.100000e-01,3.500000e-02,4.268327e+00,1.952770e+01,7.449794e+02,1.516137e+00
5.100000e-01,7.000000e-02,4.371875e+00,2.074023e+01,7.763825e+02,1.557107e+00
5.137500e-01,3.500000e-02,4.264697e+00,1.951462e+01,7.513343e+02,1.515732e+00
5.137500e-01,7.000000e-02,4.370286e+00,2.074494e+01,7.829392e+02,1.557292e+00
5.175000e-01,3.500000e-02,4.261174e+00,1.950213e+01,7.576853e+02,1.515347e+00
5.175000e-01,7.000000e-02,4.368838e+00,2.075065e+01,7.894879e+02,1.557512e+00
5.212500e-01,3.500000e-02,4.257755e+00,1.949023e+01,7.640325e+02,1.514980e+00
5.212500e-01,7.000000e-02,4.367530e+00,2.075738e+01,7.960287e+02,1.557766e+00
5.250000e-01,3.500000e-02,4.254440e+00,1.947891e+01,7.703759e+02,1.514633e+00
5.250000e-01,7.000000e-02,4.366362e+00,2.076512e+01,8.025612e+02,1.558054e+00
5.287500e-01,3.500000e-02,4.251226e+00,1.946815e+01,7.767155e+02,1.514304e+00
5.287500e-01,7.000000e-02,4.365333e+00,2.077390e+01,8.090854e+02,1.558377e+00
5.325000e-01,3.500000e-02,4.248112e+00,1.945796e+01,7.830514e+02,1.513993e+00
5.325000e-01,7.000000e-02,4.364443e+00,2.078371e+01,8.156010e+02,1.558735e+00
5.362500e-01,3.500000e-02,4.245096e+00,1.944833e+01,7.893836e+02,1.513701e+00
5.362500e-01,7.000000e-02,4.363693e+00,2.079457e+01,8.221080e+02,1.559129e+00
5.400000e-01,3.500000e-02,4.242175e+00,1.943926e+01,7.957121e+02,1.513427e+00
5.400000e-01,7.000000e-02,4.363081e+00,2.080649e+01,8.286060e+02,1.559559e+00
5.437500e-01,3.500000e-02,4.239350e+00,1.943074e+01,8.020370e+02,1.513171e+00
5.437500e-01,7.000000e-02,4.362610e+00,2.081948e+01,8.350950e+02,1.560026e+00
5.475000e-01,3.500000e-02,4.236618e+00,1.942277e+01,8.083582e+02,1.512933e+00
5.475000e-01,7.000000e-02,4.362278e+00,2.083357e+01,8.415746e+02,1.560530e+00
5.512500e-01,3.500000e-02,4.233978e+00,1.941534e+01,8.146758e+02,1.512713e+00
5.512500e-01,7.000000e-02,4.362087e+00,2.084876e+01,8.480446e+02,1.561071e+00
5.550000e-01,3.500000e-02,4.231429e+00,1.940845e+01,8.209899e+02,1.512510e+00
5.550000e-01,7.000000e-02,4.362037e+00,2.086508e+01,8.545048e+02,1.561651e+00
5.587500e-01,3.500000e-02,4.228970e+00,1.940211e+01,8.273004e+02,1.512325e+00
5.587500e-01,7.000000e-02,4.362130e+00,2.088253e+01,8.609550e+02,1.562270e+00
5.625000e-01,3.500000e-02,4.226600e+00,1.939631e+01,8.336074e+02,1.512158e+00
5.625000e-01,7.000000e-02,4.362366e+00,2.090115e+01,8.673947e+02,1.562929e+00
5.662500e-01,3.500000e-02,4.224318e+00,1.939104e+01,8.399109e+02,1.512008e+00
5.662500e-01,7.000000e-02,4.362747e+00,2.092096e+01,8.738237e+02,1.563628e+00
5.700000e-01,3.500000e-02,4.222123e+00,1.938631e+01,8.462108e+02,1.511876e+00
5.700000e-01,7.000000e-02,4.363274e+00,2.094198e+01,8.802417e+02,1.564369e+00
5.737500e-01,3.500000e-02,4.220013e+00,1.938212e+01,8.525074e+02,1.511761e+00
5.737500e-01,7.000000e-02,4.363948e+00,2.096424e+01,8.866483e+02,1.565153e+00
5.775000e-01,3.500000e-02,4.217989e+00,1.937847e+01,8.588005e+02,1.511664e+00
5.775000e-01,7.000000e-02,4.364772e+00,2.098776e+01,8.930432e+02,1.565980e+00
5.812500e-01,3.500000e-02,4.216050e+00,1.937537e+01,8.650901e+02,1.511584e+00
5.812500e-01,7.000000e-02,4.365748e+00,2.101257e+01,8.994258e+02,1.566852e+00
5.850000e-01,3.500000e-02,4.214196e+00,1.937280e+01,8.713764e+02,1.511522e+00
5.850000e-01,7.000000e-02,4.366878e+00,2.103871e+01,9.057959e+02,1.567770e+00
5.887500e-01,3.500000e-02,4.212425e+00,1.937078e+01,8.776592e+02,1.511478e+00
5.887500e-01,7.000000e-02,4.368163e+00,2.106620e+01,9.121528e+02,1.568735e+00
5.925000e-01,3.500000e-02,4.210737e+00,1.936931e+01,8.839387e+02,1.511452e+00
5.925000e-01,7.000000e-02,4.369608e+00,2.109510e+01,9.184962e+02,1.569748e+00
5.962500e-01,3.500000e-02,4.209132e+00,1.936839e+01,8.902148e+02,1.511444e+00
5.962500e-01,7.000000e-02,4.371215e+00,2.112542e+01,9.248255e+02,1.570811e+00
6.000000e-01,3.500000e-02,4.207611e+00,1.936802e+01,8.964876e+02,1.511454e+00
6.000000e-01,7.000000e-02,4.372986e+00,2.115722e+01,9.311401e+02,1.571926e+00
6.037500e-01,3.500000e-02,4.206172e+00,1.936822e+01,9.027570e+02,1.511482e+00
6.037500e-01,7.000000e-02,4.374926e+00,2.119054e+01,9.374394e+02,1.573093e+00
6.075000e-01,3.500000e-02,4.204815e+00,1.936899e+01,9.090230e+02,1.511529e+00
6.075000e-01,7.000000e-02,4.377038e+00,2.122542e+01,9.437227e+02,1.574316e+00
6.112500e-01,3.500000e-02,4.203542e+00,1.937033e+01,9.152857e+02,1.511595e+00
6.112500e-01,7.000000e-02,4.379326e+00,2.126192e+01,9.499894e+02,1.575594e+00
6.150000e-01,3.500000e-02,4.202351e+00,1.937225e+01,9.215450e+02,1.511679e+00
6.150000e-01,7.000000e-02,4.381794e+00,2.130007e+01,9.562386e+02,1.576932e+00
6.187500e-01,3.500000e-02,4.201243e+00,1.937476e+01,9.278009e+02,1.511783e+00
6.187500e-01,7.000000e-02,4.384447e+00,2.133995e+01,9.624697e+02,1.578330e+00
6.225000e-01,3.500000e-02,4.200218e+00,1.937787e+01,9.340535e+02,1.511907e+00
6.225000e-01,7.000000e-02,4.387289e+00,2.138161e+01,9.686817e+02,1.579790e+00
6.262500e-01,3.500000e-02,4.199277e+00,1.938159e+01,9.403027e+02,1.512050e+00
6.262500e-01,7.000000e-02,4.390326e+00,2.142510e+01,9.748736e+02,1.581316e+00
6.300000e-01,3.500000e-02,4.198421e+00,1.938592e+01,9.465485e+02,1.512214e+00
6.300000e-01,7.000000e-02,4.393563e+00,2.147051e+01,9.810446e+02,1.582910e+00
6.337500e-01,3.500000e-02,4.197649e+00,1.939089e+01,9.527908e+02,1.512398e+00
6.337500e-01,7.000000e-02,4.397006e+00,2.151788e+01,9.871936e+02,1.584574e+00
6.375000e-01,3.500000e-02,4.196963e+00,1.939650e+01,9.590297e+02,1.512603e+00
6.375000e-01,7.000000e-02,4.400662e+00,2.156731e+01,9.933193e+02,1.586311e+00
6.412500e-01,3.500000e-02,4.196363e+00,1.940276e+01,9.652651e+02,1.512830e+00
6.412500e-01,7.000000e-02,4.404537e+00,2.161888e+01,9.994206e+02,1.588124e+00
6.450000e-01,3.500000e-02,4.195850e+00,1.940969e+01,9.714970e+02,1.513079e+00
