# Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area
7.000000e-02,4.376806e+00,2.073255e+01,7.588604e+02,1.556777e+00,1.814310e+02,2.110307e+02
7.500000e-02,4.396503e+00,2.095540e+01,7.628042e+02,1.564421e+00,1.791816e+02,2.090696e+02
8.000000e-02,4.417950e+00,2.119594e+01,7.664991e+02,1.572712e+00,1.772256e+02,2.074214e+02
8.500000e-02,4.441306e+00,2.145593e+01,7.698751e+02,1.581722e+00,1.756314e+02,2.061852e+02
9.000000e-02,4.466756e+00,2.173743e+01,7.728473e+02,1.591537e+00,1.744812e+02,2.054781e+02
9.500000e-02,4.494515e+00,2.204298e+01,7.753100e+02,1.602260e+00,1.738747e+02,2.054393e+02
1.000000e-01,4.524840e+00,2.237568e+01,7.771286e+02,1.614021e+00,1.739338e+02,2.062367e+02
1.050000e-01,4.558051e+00,2.273963e+01,7.781248e+02,1.626991e+00,1.748104e+02,2.080766e+02
1.100000e-01,4.594554e+00,2.314042e+01,7.780528e+02,1.641403e+00,1.766973e+02,2.112180e+02
1.150000e-01,4.634896e+00,2.358609e+01,7.765592e+02,1.657594e+00,1.798420e+02,2.159907e+02
1.200000e-01,4.679835e+00,2.408890e+01,7.731132e+02,1.676077e+00,1.845637e+02,2.228191e+02
1.250000e-01,4.730489e+00,2.466846e+01,7.668891e+02,1.697676e+00,1.912645e+02,2.322414e+02
1.300000e-01,4.788409e+00,2.528811e+01,7.638418e+02,1.720468e+00,1.950923e+02,2.384609e+02
1.350000e-01,4.852168e+00,2.577912e+01,7.804171e+02,1.736798e+00,1.843330e+02,2.271746e+02
1.400000e-01,4.920788e+00,2.628735e+01,7.997085e+02,1.754200e+00,1.716930e+02,2.136577e+02
1.450000e-01,4.994034e+00,2.679975e+01,8.232416e+02,1.772577e+00,1.557354e+02,1.961547e+02
1.500000e-01,5.071073e+00,2.728667e+01,8.542986e+02,1.791658e+00,1.332640e+02,1.707075e+02
