# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.500000e-01,4.354810e+00,1.982658e+01,6.429553e+02,1.525356e+00,2.565324e+02,2.328281e+02,6.603848e+06,3.717434e+04
3.500000e-02,5.000000e-01,4.288027e+00,1.956411e+01,7.283250e+02,1.517067e+00,2.101074e+02,2.322275e+02,5.954813e+06,3.700173e+04
3.500000e-02,5.500000e-01,4.242521e+00,1.941420e+01,8.130079e+02,1.512478e+00,1.710425e+02,2.301645e+02,5.305838e+06,3.678357e+04
3.500000e-02,6.000000e-01,4.213798e+00,1.936241e+01,8.970668e+02,1.511091e+00,1.378701e+02,2.267236e+02,4.656908e+06,3.649998e+04
3.500000e-02,6.500000e-01,4.200220e+00,1.941241e+01,9.805342e+02,1.513027e+00,1.094372e+02,2.217673e+02,4.008038e+06,3.611807e+04
3.500000e-02,7.000000e-01,4.203142e+00,1.959189e+01,1.063336e+03,1.519228e+00,8.483661e+01,2.148480e+02,3.359407e+06,3.557968e+04
3.500000e-02,7.500000e-01,4.228781e+00,1.997529e+01,1.145053e+03,1.532247e+00,6.335257e+01,2.049818e+02,2.711940e+06,3.477298e+04
5.000000e-02,4.500000e-01,4.379977e+00,2.013844e+01,6.568414e+02,1.535844e+00,2.473289e+02,2.259910e+02,6.475278e+06,3.639773e+04
5.000000e-02,5.000000e-01,4.322087e+00,1.995327e+01,7.435693e+02,1.530062e+00,2.010807e+02,2.239546e+02,5.816176e+06,3.611807e+04
5.000000e-02,5.500000e-01,4.287065e+00,1.990014e+01,8.294771e+02,1.528647e+00,1.622656e+02,2.201657e+02,5.157226e+06,3.576276e+04
5.000000e-02,6.000000e-01,4.271682e+00,1.997723e+01,9.145279e+02,1.531542e+00,1.293926e+02,2.146140e+02,4.498744e+06,3.529847e+04
5.000000e-02,6.500000e-01,4.276431e+00,2.021056e+01,9.985135e+02,1.539659e+00,1.013049e+02,2.070392e+02,3.841658e+06,3.467017e+04
5.000000e-02,7.000000e-01,4.306728e+00,2.067204e+01,1.080760e+03,1.555549e+00,7.710943e+01,1.968590e+02,3.188760e+06,3.378121e+04
5.000000e-02,7.500000e-01,4.377666e+00,2.153541e+01,1.159197e+03,1.585529e+00,5.612207e+01,1.830345e+02,2.549010e+06,3.244824e+04
7.000000e-02,4.500000e-01,4.425438e+00,2.067783e+01,6.756633e+02,1.554136e+00,2.344793e+02,2.157112e+02,6.299271e+06,3.522042e+04
7.000000e-02,5.000000e-01,4.382701e+00,2.063235e+01,7.637731e+02,1.552998e+00,1.886381e+02,2.118255e+02,5.628004e+06,3.477298e+04
7.000000e-02,5.500000e-01,4.366336e+00,2.076034e+01,8.505459e+02,1.557707e+00,1.504281e+02,2.060197e+02,4.959216e+06,3.420305e+04
7.000000e-02,6.000000e-01,4.375674e+00,2.108690e+01,9.355538e+02,1.569201e+00,1.183315e+02,1.983522e+02,4.295938e+06,3.345717e+04
7.000000e-02,6.500000e-01,4.415729e+00,2.168764e+01,1.017732e+03,1.590296e+00,9.118966e+01,1.887740e+02,3.645359e+06,3.244824e+04
7.000000e-02,7.000000e-01,4.500884e+00,2.273534e+01,1.094398e+03,1.627623e+00,6.811044e+01,1.772945e+02,3.025847e+06,3.102660e+04
7.000000e-02,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,4.500000e-01,4.530895e+00,2.186945e+01,7.008382e+02,1.595292e+00,2.186305e+02,2.034261e+02,6.050778e+06,3.318735e+04
1.000000e-01,5.000000e-01,4.520172e+00,2.213529e+01,7.888795e+02,1.605008e+00,1.743771e+02,1.991638e+02,5.381244e+06,3.244824e+04
1.000000e-01,5.500000e-01,4.545192e+00,2.268210e+01,8.735670e+02,1.624734e+00,1.381933e+02,1.941441e+02,4.733305e+06,3.150932e+04
1.000000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,4.500000e-01,4.672137e+00,2.339371e+01,7.123991e+02,1.649571e+00,2.177613e+02,2.068938e+02,5.924354e+06,3.129093e+04
1.250000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,4.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
