# Inlet Salinity,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area
7.000000e-02,3.700414e+00,1.448414e+01,6.353988e+02,1.358026e+00,3.545690e+02,4.289000e+02
7.500000e-02,3.703611e+00,1.450526e+01,6.398555e+02,1.358631e+00,3.557241e+02,4.299874e+02
8.000000e-02,3.706889e+00,1.452697e+01,6.443812e+02,1.359253e+00,3.568744e+02,4.310611e+02
8.500000e-02,3.710250e+00,1.454929e+01,6.489778e+02,1.359893e+00,3.580192e+02,4.321202e+02
9.000000e-02,3.713699e+00,1.457226e+01,6.536470e+02,1.360552e+00,3.591578e+02,4.331635e+02
9.500000e-02,3.717238e+00,1.459590e+01,6.583907e+02,1.361230e+00,3.602894e+02,4.341898e+02
1.000000e-01,3.720871e+00,1.462024e+01,6.632109e+02,1.361929e+00,3.614132e+02,4.351981e+02
1.050000e-01,3.724602e+00,1.464531e+01,6.681095e+02,1.362650e+00,3.625283e+02,4.361869e+02
1.100000e-01,3.728434e+00,1.467114e+01,6.730886e+02,1.363393e+00,3.636339e+02,4.371550e+02
1.150000e-01,3.732373e+00,1.469777e+01,6.781504e+02,1.364159e+00,3.647288e+02,4.381009e+02
1.200000e-01,3.736423e+00,1.472524e+01,6.832971e+02,1.364951e+00,3.658122e+02,4.390231e+02
1.250000e-01,3.888147e+00,1.927423e+01,5.826711e+02,1.504313e+00,2.771458e+02,3.197145e+02
1.300000e-01,nan,nan,nan,nan,nan,nan
1.350000e-01,nan,nan,nan,nan,nan,nan
1.400000e-01,nan,nan,nan,nan,nan,nan
1.450000e-01,nan,nan,nan,nan,nan,nan
1.500000e-01,nan,nan,nan,nan,nan,nan
