# Inlet Salinity,Water Recovery,LCOW,SEC,Evaporator area,Compressor pressure ratio,Brine HX area,Dist HX area,Brine Enth Flow,Vapor Pressure
3.500000e-02,4.500000e-01,3.792668e+00,1.497799e+01,5.276064e+02,1.372296e+00,4.052812e+02,4.038297e+02,7.149739e+06,6.487993e+04
3.500000e-02,5.000000e-01,3.680065e+00,1.435108e+01,6.060015e+02,1.354225e+00,3.463980e+02,4.209823e+02,6.499760e+06,6.473709e+04
3.500000e-02,5.500000e-01,3.593911e+00,1.386379e+01,6.849832e+02,1.340357e+00,2.935432e+02,4.353430e+02,5.849781e+06,6.456070e+04
3.500000e-02,6.000000e-01,3.527161e+00,1.348133e+01,7.644434e+02,1.329583e+00,2.460068e+02,4.472081e+02,5.199801e+06,6.433737e+04
3.500000e-02,6.500000e-01,3.475295e+00,1.318137e+01,8.443949e+02,1.321201e+00,2.031487e+02,4.567321e+02,4.549822e+06,6.404549e+04
3.500000e-02,7.000000e-01,3.435572e+00,1.295073e+01,9.250011e+02,1.314797e+00,1.643984e+02,4.638733e+02,3.899842e+06,6.364778e+04
3.500000e-02,7.500000e-01,3.406821e+00,1.278519e+01,1.006679e+03,1.310226e+00,1.292481e+02,4.682498e+02,3.249863e+06,6.307392e+04
5.000000e-02,4.500000e-01,3.799598e+00,1.502297e+01,5.380815e+02,1.373596e+00,4.098531e+02,4.076730e+02,7.262615e+06,6.425830e+04
5.000000e-02,5.000000e-01,3.688377e+00,1.440515e+01,6.182300e+02,1.355768e+00,3.499128e+02,4.244329e+02,6.602373e+06,6.404549e+04
5.000000e-02,5.500000e-01,3.603886e+00,1.392892e+01,6.990866e+02,1.342199e+00,2.961118e+02,4.382013e+02,5.942131e+06,6.378145e+04
5.000000e-02,6.000000e-01,3.539225e+00,1.356053e+01,7.805938e+02,1.331806e+00,2.477214e+02,4.492123e+02,5.281888e+06,6.344516e+04
5.000000e-02,6.500000e-01,3.490127e+00,1.327936e+01,8.628528e+02,1.323935e+00,2.040825e+02,4.575089e+02,4.621646e+06,6.300224e+04
5.000000e-02,7.000000e-01,3.454311e+00,1.307551e+01,9.461893e+02,1.318265e+00,1.646024e+02,4.628387e+02,3.961403e+06,6.239245e+04
5.000000e-02,7.500000e-01,3.431577e+00,1.295172e+01,1.031350e+03,1.314842e+00,1.287427e+02,4.643850e+02,3.301160e+06,6.149958e+04
7.000000e-02,4.500000e-01,3.809555e+00,1.508812e+01,5.527586e+02,1.375481e+00,4.160023e+02,4.127697e+02,7.418780e+06,6.338945e+04
7.000000e-02,5.000000e-01,3.700414e+00,1.448414e+01,6.353988e+02,1.358026e+00,3.545690e+02,4.289000e+02,6.744339e+06,6.307392e+04
7.000000e-02,5.500000e-01,3.618476e+00,1.402514e+01,7.189420e+02,1.344925e+00,2.994227e+02,4.417257e+02,6.069897e+06,6.267982e+04
7.000000e-02,6.000000e-01,3.557103e+00,1.367922e+01,8.034180e+02,1.335145e+00,2.498054e+02,4.513715e+02,5.395455e+06,6.217362e+04
7.000000e-02,6.500000e-01,3.512490e+00,1.342909e+01,8.890833e+02,1.328126e+00,2.050252e+02,4.576792e+02,4.721013e+06,6.149958e+04
7.000000e-02,7.000000e-01,3.483266e+00,1.327147e+01,9.765594e+02,1.323732e+00,1.644467e+02,4.600058e+02,4.046571e+06,6.055760e+04
7.000000e-02,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,4.500000e-01,3.826265e+00,1.519879e+01,5.764560e+02,1.378692e+00,4.252940e+02,4.202890e+02,7.666039e+06,6.199244e+04
1.000000e-01,5.000000e-01,3.720871e+00,1.462024e+01,6.632109e+02,1.361929e+00,3.614132e+02,4.351981e+02,6.969115e+06,6.149958e+04
1.000000e-01,5.500000e-01,3.643672e+00,1.419394e+01,7.512508e+02,1.349724e+00,3.040344e+02,4.462038e+02,6.272191e+06,6.087730e+04
1.000000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.000000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,4.500000e-01,3.842123e+00,1.530535e+01,5.979407e+02,1.381794e+00,4.330330e+02,4.263496e+02,7.885037e+06,6.073270e+04
1.250000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.250000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,4.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,5.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,6.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.000000e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.500000e-01,7.500000e-01,nan,nan,nan,nan,nan,nan,nan,nan
