# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,8.796789e-01,5.735175e+00,7.031779e+01,5.006453e+06
3.050000e-01,8.707846e-01,5.675410e+00,7.091046e+01,5.036236e+06
3.100000e-01,8.621913e-01,5.617737e+00,7.149839e+01,5.066165e+06
3.150000e-01,8.538863e-01,5.562068e+00,7.208165e+01,5.096249e+06
3.200000e-01,8.458577e-01,5.508320e+00,7.266028e+01,5.126499e+06
3.250000e-01,8.380944e-01,5.456416e+00,7.323435e+01,5.156925e+06
3.300000e-01,8.305859e-01,5.406284e+00,7.380391e+01,5.187538e+06
3.350000e-01,8.233223e-01,5.357855e+00,7.436899e+01,5.218349e+06
3.400000e-01,8.162944e-01,5.311066e+00,7.492963e+01,5.249368e+06
3.450000e-01,8.094936e-01,5.265857e+00,7.548588e+01,5.280608e+06
3.500000e-01,8.029117e-01,5.222172e+00,7.603777e+01,5.312080e+06
3.550000e-01,7.965410e-01,5.179957e+00,7.658531e+01,5.343795e+06
3.600000e-01,7.903743e-01,5.139165e+00,7.712855e+01,5.375766e+06
3.650000e-01,7.844049e-01,5.099747e+00,7.766750e+01,5.408004e+06
3.700000e-01,7.786263e-01,5.061660e+00,7.820217e+01,5.440523e+06
3.750000e-01,7.730326e-01,5.024864e+00,7.873259e+01,5.473335e+06
3.800000e-01,7.676181e-01,4.989318e+00,7.925876e+01,5.506454e+06
3.850000e-01,7.623775e-01,4.954988e+00,7.978070e+01,5.539893e+06
3.900000e-01,7.573057e-01,4.921838e+00,8.029841e+01,5.573666e+06
3.950000e-01,7.523981e-01,4.889837e+00,8.081190e+01,5.607788e+06
4.000000e-01,7.476502e-01,4.858955e+00,8.132116e+01,5.642273e+06
4.050000e-01,7.430579e-01,4.829163e+00,8.182621e+01,5.677137e+06
4.100000e-01,7.386173e-01,4.800435e+00,8.232703e+01,5.712396e+06
4.150000e-01,7.343247e-01,4.772747e+00,8.282363e+01,5.748065e+06
4.200000e-01,7.301767e-01,4.746075e+00,8.331600e+01,5.784162e+06
4.250000e-01,7.261700e-01,4.720397e+00,8.380414e+01,5.820703e+06
4.300000e-01,7.223017e-01,4.695694e+00,8.428805e+01,5.857708e+06
4.350000e-01,7.185691e-01,4.671947e+00,8.476770e+01,5.895193e+06
4.400000e-01,7.149694e-01,4.649138e+00,8.524311e+01,5.933179e+06
4.450000e-01,7.115002e-01,4.627252e+00,8.571427e+01,5.971685e+06
4.500000e-01,7.081594e-01,4.606273e+00,8.618116e+01,6.010732e+06
4.550000e-01,7.049449e-01,4.586189e+00,8.664380e+01,6.050340e+06
4.600000e-01,7.018548e-01,4.566987e+00,8.710217e+01,6.090533e+06
4.650000e-01,6.988873e-01,4.548655e+00,8.755628e+01,6.131332e+06
4.700000e-01,6.960410e-01,4.531184e+00,8.800614e+01,6.172762e+06
4.750000e-01,6.933143e-01,4.514564e+00,8.845176e+01,6.214847e+06
4.800000e-01,6.907062e-01,4.498788e+00,8.889314e+01,6.257613e+06
4.850000e-01,6.882154e-01,4.483849e+00,8.933031e+01,6.301086e+06
4.900000e-01,6.858410e-01,4.469740e+00,8.976329e+01,6.345294e+06
4.950000e-01,6.835823e-01,4.456457e+00,9.019212e+01,6.390265e+06
5.000000e-01,6.814385e-01,4.443996e+00,9.061683e+01,6.436030e+06
