# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
5.000000e-03,3.500000e-01,3.698786e-01,2.014936e+00,7.382806e+01,2.129379e+06
5.000000e-03,4.000000e-01,3.433389e-01,1.859771e+00,7.948308e+01,2.240615e+06
5.000000e-03,4.500000e-01,3.218547e-01,1.734644e+00,8.490418e+01,2.346102e+06
5.000000e-03,5.000000e-01,3.041474e-01,1.631992e+00,9.013823e+01,2.447922e+06
5.000000e-03,5.500000e-01,2.893972e-01,1.547034e+00,9.522072e+01,2.548207e+06
5.000000e-03,6.000000e-01,2.770797e-01,1.476804e+00,1.001777e+02,2.649475e+06
5.000000e-03,6.500000e-01,2.668908e-01,1.419761e+00,1.050234e+02,2.755197e+06
1.000000e-02,3.500000e-01,4.359816e-01,2.504229e+00,7.461422e+01,2.618060e+06
1.000000e-02,4.000000e-01,4.044052e-01,2.311714e+00,8.032073e+01,2.756476e+06
1.000000e-02,4.500000e-01,3.794139e-01,2.160685e+00,8.578582e+01,2.893221e+06
1.000000e-02,5.000000e-01,3.593981e-01,2.041194e+00,9.104450e+01,3.031880e+06
1.000000e-02,5.500000e-01,3.433874e-01,1.947469e+00,9.610907e+01,3.176920e+06
1.000000e-02,6.000000e-01,3.308560e-01,1.876768e+00,1.009594e+02,3.334718e+06
1.000000e-02,6.500000e-01,3.216740e-01,1.829293e+00,1.055152e+02,3.515565e+06
2.000000e-02,3.500000e-01,5.741953e-01,3.530302e+00,7.596835e+01,3.638252e+06
2.000000e-02,4.000000e-01,5.330344e-01,3.267794e+00,8.163357e+01,3.842953e+06
2.000000e-02,4.500000e-01,5.018071e-01,3.072119e+00,8.698046e+01,4.058606e+06
2.000000e-02,5.000000e-01,4.783308e-01,2.929320e+00,9.199672e+01,4.293927e+06
2.000000e-02,5.500000e-01,4.614930e-01,2.832906e+00,9.662288e+01,4.561404e+06
2.000000e-02,6.000000e-01,4.510379e-01,2.782552e+00,1.007425e+02,4.880398e+06
2.000000e-02,6.500000e-01,4.476508e-01,2.784762e+00,1.041967e+02,5.282789e+06
3.500000e-02,3.500000e-01,8.002379e-01,5.212006e+00,7.783673e+01,5.297662e+06
3.500000e-02,4.000000e-01,7.457110e-01,4.852957e+00,8.332424e+01,5.630887e+06
3.500000e-02,4.500000e-01,7.069200e-01,4.604245e+00,8.840261e+01,6.003276e+06
3.500000e-02,5.000000e-01,6.809725e-01,4.446473e+00,9.307938e+01,6.434355e+06
3.500000e-02,5.500000e-01,6.667982e-01,4.372822e+00,9.740336e+01,6.952299e+06
3.500000e-02,6.000000e-01,6.649127e-01,4.386988e+00,1.015894e+02,7.599378e+06
3.500000e-02,6.500000e-01,6.776879e-01,4.504084e+00,1.063181e+02,8.441125e+06
4.000000e-02,3.500000e-01,8.812306e-01,5.814450e+00,7.851793e+01,5.888514e+06
4.000000e-02,4.000000e-01,8.224850e-01,5.424779e+00,8.397904e+01,6.272003e+06
4.000000e-02,4.500000e-01,7.816109e-01,5.161141e+00,8.904647e+01,6.705973e+06
4.000000e-02,5.000000e-01,7.554975e-01,5.002248e+00,9.377732e+01,7.213920e+06
4.000000e-02,5.500000e-01,7.431209e-01,4.941082e+00,9.832866e+01,7.829556e+06
4.000000e-02,6.000000e-01,nan,nan,nan,nan
4.000000e-02,6.500000e-01,nan,nan,nan,nan
5.000000e-02,3.500000e-01,1.057383e+00,7.249576e+00,6.800297e+01,7.291751e+06
5.000000e-02,4.000000e-01,9.899795e-01,6.786079e+00,7.291377e+01,7.793566e+06
5.000000e-02,4.500000e-01,9.458612e-01,6.499653e+00,7.639691e+01,8.389839e+06
5.000000e-02,5.000000e-01,nan,nan,nan,nan
5.000000e-02,5.500000e-01,nan,nan,nan,nan
5.000000e-02,6.000000e-01,nan,nan,nan,nan
5.000000e-02,6.500000e-01,nan,nan,nan,nan
