# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
5.000000e-03,3.500000e-01,3.646818e-01,1.964406e+00,7.285981e+01,2.079099e+06
5.000000e-03,4.000000e-01,3.386745e-01,1.814238e+00,7.840571e+01,2.188849e+06
5.000000e-03,4.500000e-01,3.176395e-01,1.693326e+00,8.371626e+01,2.293274e+06
5.000000e-03,5.000000e-01,3.003214e-01,1.594325e+00,8.883776e+01,2.394433e+06
5.000000e-03,5.500000e-01,2.859170e-01,1.512607e+00,9.380495e+01,2.494455e+06
5.000000e-03,6.000000e-01,2.739146e-01,1.445327e+00,9.864259e+01,2.595892e+06
5.000000e-03,6.500000e-01,2.640209e-01,1.391050e+00,1.033625e+02,2.702289e+06
1.000000e-02,3.500000e-01,4.314502e-01,2.458525e+00,7.354996e+01,2.573551e+06
1.000000e-02,4.000000e-01,4.003708e-01,2.270784e+00,7.913671e+01,2.710968e+06
1.000000e-02,4.500000e-01,3.758070e-01,2.123866e+00,8.447813e+01,2.847227e+06
1.000000e-02,5.000000e-01,3.561694e-01,2.008024e+00,8.960758e+01,2.985918e+06
1.000000e-02,5.500000e-01,3.405022e-01,1.917632e+00,9.453494e+01,3.131543e+06
1.000000e-02,6.000000e-01,3.282909e-01,1.850075e+00,9.923643e+01,3.290564e+06
1.000000e-02,6.500000e-01,3.194152e-01,1.805675e+00,1.036262e+02,3.473422e+06
2.000000e-02,3.500000e-01,5.702909e-01,3.489358e+00,7.466680e+01,3.601126e+06
2.000000e-02,4.000000e-01,5.295130e-01,3.230901e+00,8.018412e+01,3.804833e+06
2.000000e-02,4.500000e-01,4.986127e-01,3.038750e+00,8.537474e+01,4.019982e+06
2.000000e-02,5.000000e-01,4.754161e-01,2.899067e+00,9.022359e+01,4.255248e+06
2.000000e-02,5.500000e-01,4.588139e-01,2.805440e+00,9.466722e+01,4.523079e+06
2.000000e-02,6.000000e-01,4.485473e-01,2.757590e+00,9.858190e+01,4.842794e+06
2.000000e-02,6.500000e-01,4.452918e-01,2.762062e+00,1.017908e+02,5.246264e+06
3.500000e-02,3.500000e-01,7.945888e-01,5.158473e+00,7.610573e+01,5.253795e+06
3.500000e-02,4.000000e-01,7.403732e-01,4.803188e+00,8.139464e+01,5.584292e+06
3.500000e-02,4.500000e-01,7.018149e-01,4.557622e+00,8.625429e+01,5.954308e+06
3.500000e-02,5.000000e-01,6.760356e-01,4.402584e+00,9.067987e+01,6.383427e+06
3.500000e-02,5.500000e-01,6.619853e-01,4.331540e+00,9.469624e+01,6.900150e+06
3.500000e-02,6.000000e-01,6.602281e-01,4.348748e+00,9.847128e+01,7.547731e+06
3.500000e-02,6.500000e-01,6.732653e-01,4.470574e+00,1.025974e+02,8.394323e+06
4.000000e-02,3.500000e-01,8.744461e-01,5.752647e+00,7.662375e+01,5.838869e+06
4.000000e-02,4.000000e-01,8.160514e-01,5.367155e+00,8.186326e+01,6.219110e+06
4.000000e-02,4.500000e-01,7.754477e-01,5.107110e+00,8.668070e+01,6.650373e+06
4.000000e-02,5.000000e-01,7.495557e-01,4.951573e+00,9.111500e+01,7.156451e+06
4.000000e-02,5.500000e-01,7.374037e-01,4.894073e+00,9.529035e+01,7.771877e+06
4.000000e-02,6.000000e-01,nan,nan,nan,nan
4.000000e-02,6.500000e-01,nan,nan,nan,nan
5.000000e-02,3.500000e-01,1.048964e+00,7.189369e+00,6.500863e+01,7.249819e+06
5.000000e-02,4.000000e-01,9.819921e-01,6.728992e+00,6.969631e+01,7.747879e+06
5.000000e-02,4.500000e-01,9.383365e-01,6.445962e+00,7.301140e+01,8.341871e+06
5.000000e-02,5.000000e-01,nan,nan,nan,nan
5.000000e-02,5.500000e-01,nan,nan,nan,nan
5.000000e-02,6.000000e-01,nan,nan,nan,nan
5.000000e-02,6.500000e-01,nan,nan,nan,nan
