# Feed Mass Frac,Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
5.000000e-03,3.500000e-01,3.876964e-01,2.153765e+00,7.275623e+01,2.261575e+06
5.000000e-03,4.000000e-01,3.598210e-01,1.988001e+00,7.835886e+01,2.380166e+06
5.000000e-03,4.500000e-01,3.373497e-01,1.854963e+00,8.373641e+01,2.493458e+06
5.000000e-03,5.000000e-01,3.189238e-01,1.746478e+00,8.893400e+01,2.603807e+06
5.000000e-03,5.500000e-01,3.036811e-01,1.657445e+00,9.398428e+01,2.713729e+06
5.000000e-03,6.000000e-01,2.910833e-01,1.584814e+00,9.890783e+01,2.826339e+06
5.000000e-03,6.500000e-01,2.808404e-01,1.527197e+00,1.037070e+02,2.946107e+06
1.000000e-02,3.500000e-01,4.689119e-01,2.753122e+00,7.351660e+01,2.849004e+06
1.000000e-02,4.000000e-01,4.349363e-01,2.542416e+00,7.914701e+01,3.001197e+06
1.000000e-02,4.500000e-01,4.082460e-01,2.378536e+00,8.453430e+01,3.153397e+06
1.000000e-02,5.000000e-01,3.870833e-01,2.250457e+00,8.970546e+01,3.309913e+06
1.000000e-02,5.500000e-01,3.704100e-01,2.151951e+00,9.465960e+01,3.476293e+06
1.000000e-02,6.000000e-01,3.576977e-01,2.080356e+00,9.935448e+01,3.660634e+06
1.000000e-02,6.500000e-01,3.488875e-01,2.036558e+00,1.036738e+02,3.876088e+06
2.000000e-02,3.500000e-01,6.386305e-01,4.009354e+00,7.475288e+01,4.062768e+06
2.000000e-02,4.000000e-01,5.928403e-01,3.712854e+00,8.027427e+01,4.293876e+06
2.000000e-02,4.500000e-01,5.584290e-01,3.494086e+00,8.545949e+01,4.540041e+06
2.000000e-02,5.000000e-01,5.329094e-01,3.336840e+00,9.029031e+01,4.811299e+06
2.000000e-02,5.500000e-01,5.150176e-01,3.233473e+00,9.470816e+01,5.121837e+06
2.000000e-02,6.000000e-01,5.044452e-01,3.183131e+00,9.861890e+01,5.493030e+06
2.000000e-02,6.500000e-01,5.018791e-01,3.191947e+00,1.019374e+02,5.958600e+06
3.500000e-02,3.500000e-01,9.109328e-01,6.027210e+00,7.652214e+01,5.966392e+06
3.500000e-02,4.000000e-01,8.478813e-01,5.605705e+00,8.185702e+01,6.335485e+06
3.500000e-02,4.500000e-01,8.029374e-01,5.311909e+00,8.681031e+01,6.747199e+06
3.500000e-02,5.000000e-01,7.725160e-01,5.121138e+00,9.141824e+01,7.220487e+06
3.500000e-02,5.500000e-01,7.550173e-01,5.022442e+00,9.577056e+01,7.781589e+06
3.500000e-02,6.000000e-01,7.504074e-01,5.015296e+00,1.001155e+02,8.468061e+06
3.500000e-02,6.500000e-01,nan,nan,nan,nan
4.000000e-02,3.500000e-01,1.006312e+00,6.733221e+00,7.721318e+01,6.619866e+06
4.000000e-02,4.000000e-01,9.375002e-01,6.269613e+00,8.254429e+01,7.038124e+06
4.000000e-02,4.500000e-01,8.891426e-01,5.950824e+00,8.752816e+01,7.508449e+06
4.000000e-02,5.000000e-01,8.572603e-01,5.748999e+00,9.224959e+01,8.052413e+06
4.000000e-02,5.500000e-01,nan,nan,nan,nan
4.000000e-02,6.000000e-01,nan,nan,nan,nan
4.000000e-02,6.500000e-01,nan,nan,nan,nan
5.000000e-02,3.500000e-01,1.208355e+00,8.352517e+00,6.742446e+01,8.103696e+06
5.000000e-02,4.000000e-01,nan,nan,nan,nan
5.000000e-02,4.500000e-01,nan,nan,nan,nan
5.000000e-02,5.000000e-01,nan,nan,nan,nan
5.000000e-02,5.500000e-01,nan,nan,nan,nan
5.000000e-02,6.000000e-01,nan,nan,nan,nan
5.000000e-02,6.500000e-01,nan,nan,nan,nan
